organization,project_name,location,recording_date,longitude,latitude,method,status,observer,species_code,species_common_name,species_class,individual_appearance_order,tag_start_s,vocalization,abundance,species_comments,is_verified
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,59.18,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,20.51,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,27.60,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,39.91,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,31.99,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,47.74,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,5.53,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,26.29,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,33.69,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,52.21,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,20.28,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,43.15,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,55.76,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,53.04,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,35.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,57.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,40.08,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,17.83,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 06:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,15.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,22.29,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,4.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,38.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,30.55,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,20.81,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,0.11,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,51.01,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,56.45,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,9.84,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,44.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,7.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,40.35,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,11.15,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,44.13,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,16.56,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,30.36,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,55.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,53.96,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,58.39,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,22.05,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,46.65,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,33.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,19.29,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,27.38,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,7.88,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 07:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,39.51,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,3.23,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,50.24,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,23.30,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,41.73,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,34.79,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:00:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,18.19,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,12.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,36.31,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,24.74,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,57.88,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,45.53,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,31.50,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,2,6.44,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,3,47.78,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,41.89,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,20.93,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,2.85,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,17.64,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:20:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,4,50.68,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,16.49,Song,1,,false
BU,TimeOFDay,H-P10-31-33,2021-05-29 08:40:00,-115.543270,57.901690,60s None,Transcribed,Erin Bayne,OVEN,Ovenbird,Aves,1,41.85,Song,1,,false
